rubric,pearson_r,spearman_rho,spearman_p,n
coherence_1_5,0.1448,0.0783,0.0495,630
realism_1_5,-0.0327,-0.1207,0.0024,630
voice_diversity_1_5,-0.1868,-0.2714,0.0000,630
