,coherence_1_5,coherence_1_5,coherence_1_5,coherence_1_5,coherence_1_5,coherence_1_5,realism_1_5,realism_1_5,realism_1_5,realism_1_5,realism_1_5,realism_1_5,voice_diversity_1_5,voice_diversity_1_5,voice_diversity_1_5,voice_diversity_1_5,voice_diversity_1_5,voice_diversity_1_5
,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count
provider_gen,,,,,,,,,,,,,,,,,,
claude,3.54,1.15,4.00,1,5,210,3.98,0.99,4.00,1,5,210,3.75,1.27,4.00,1,5,210
gemini,4.53,0.79,5.00,1,5,210,4.39,0.76,5.00,1,5,210,4.56,0.68,5.00,1,5,210
openai,4.57,0.80,5.00,1,5,210,4.74,0.66,5.00,1,5,210,4.82,0.65,5.00,1,5,210
