,accuracy,accuracy,balanced_accuracy,balanced_accuracy,kappa_quadratic,kappa_quadratic,macro_f1,macro_f1,mcc,mcc
scenario,S_full_high_noise,S_random_with_latents,S_full_high_noise,S_random_with_latents,S_full_high_noise,S_random_with_latents,S_full_high_noise,S_random_with_latents,S_full_high_noise,S_random_with_latents
dim,,,,,,,,,,
ability,0.5067,0.4203,0.5100,0.4434,0.4509,0.2077,0.4694,0.3745,0.2999,0.1663
performance,0.5543,0.4145,0.5315,0.4466,0.4972,0.2474,0.5111,0.3819,0.3455,0.1572
productivity,0.5256,0.3953,0.5119,0.4095,0.4495,0.1526,0.4921,0.3497,0.2955,0.1004
