,ARTIFACT_MISSING,COUNT,DECISION_MISSING,INCOMPLETE,INCONSISTENCY,INVALID_REF,LEAK,PARTICIPATION_MISSING,SCHEMA,VOICE_SIMILARITY
Claude Haiku 4.5,337,388,22,0,13,17,97,30,5,49
Gemini 2.5 Pro,60,359,0,2,9,29,85,12,0,3
GPT-5.1,56,324,1,2,6,0,59,4,0,5
