,accuracy,accuracy,balanced_accuracy,balanced_accuracy,macro_f1,macro_f1,mcc,mcc
eval_type,cross,self,cross,self,cross,self,cross,self
dim,,,,,,,,
ability,0.4478,0.4740,0.4685,0.4945,0.4116,0.4459,0.2162,0.2475
performance,0.4741,0.4912,0.4839,0.5015,0.4422,0.4627,0.2425,0.2623
productivity,0.4446,0.4709,0.4549,0.4799,0.4139,0.4435,0.1836,0.2175
