n,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc,kappa_quadratic,kappa_linear,mae_ordinal,within1_acc,pred_mid_rate,precision_LOW,recall_LOW,f1_LOW,support_LOW,precision_MID,recall_MID,f1_MID,support_MID,precision_HIGH,recall_HIGH,f1_HIGH,support_HIGH,affinity_band,dim
3220,0.5099,0.5177,0.4797,0.4781,0.2888,0.4184,0.3332,0.5596,0.9304,0.3016,0.7844,0.2589,0.3893,815,0.5366,0.3656,0.4349,1425,0.4596,0.9286,0.6149,980,HIGH,ability
3220,0.4842,0.5057,0.4653,0.4556,0.2548,0.4194,0.3167,0.5780,0.9379,0.2947,0.8014,0.2822,0.4174,815,0.5047,0.3259,0.3960,1470,0.4284,0.9091,0.5824,935,HIGH,performance
3220,0.4814,0.4907,0.4575,0.4601,0.2297,0.3595,0.2792,0.5913,0.9273,0.3432,0.6525,0.2519,0.3635,790,0.5357,0.3908,0.4519,1515,0.4193,0.8295,0.5571,915,HIGH,productivity
170,0.4176,0.4756,0.3941,0.3868,0.2178,0.2431,0.2078,0.7412,0.8412,0.2647,0.8333,0.1818,0.2985,55,0.5333,0.3200,0.4000,75,0.3274,0.9250,0.4837,40,LOW,ability
170,0.5706,0.5321,0.5010,0.5307,0.3734,0.3007,0.3142,0.5588,0.8706,0.2765,0.7000,0.1750,0.2800,40,0.7021,0.4714,0.5641,70,0.5044,0.9500,0.6590,60,LOW,performance
170,0.3882,0.4111,0.3550,0.3469,0.1304,0.1955,0.1528,0.7941,0.8176,0.2765,0.8182,0.1500,0.2535,60,0.3617,0.2833,0.3178,60,0.3571,0.8000,0.4938,50,LOW,productivity
2118,0.3966,0.4358,0.3644,0.3539,0.1557,0.2549,0.1895,0.7413,0.8621,0.2616,0.8413,0.1623,0.2721,653,0.4224,0.2600,0.3219,900,0.3477,0.8850,0.4993,565,MID,ability
2118,0.4778,0.4749,0.4333,0.4349,0.2416,0.3301,0.2673,0.6341,0.8881,0.2592,0.8108,0.2058,0.3283,583,0.4736,0.3095,0.3744,840,0.4448,0.9094,0.5974,695,MID,performance
2118,0.4344,0.4435,0.3974,0.4024,0.1694,0.2557,0.1980,0.6742,0.8914,0.3059,0.6765,0.1710,0.2730,538,0.5015,0.3351,0.4017,970,0.3771,0.8246,0.5175,610,MID,productivity
