code,count,n_high,n_mid,n_low,pct
COUNT,1071,982,24,65,0.5426
ARTIFACT_MISSING,453,453,0,0,0.2295
LEAK,241,240,0,1,0.1221
VOICE_SIMILARITY,57,0,55,2,0.0289
INVALID_REF,46,29,13,4,0.0233
PARTICIPATION_MISSING,46,46,0,0,0.0233
INCONSISTENCY,28,4,12,12,0.0142
DECISION_MISSING,23,23,0,0,0.0117
SCHEMA,5,5,0,0,0.0025
INCOMPLETE,4,2,1,1,0.0020
