dim,n,accuracy,balanced_accuracy,macro_f1,mcc,kappa_quadratic,mae_ordinal,within1_acc
ability,5508,0.4635,0.4841,0.4323,0.2350,0.3429,0.6351,0.9014
productivity,5508,0.4604,0.4699,0.4317,0.2040,0.3123,0.6294,0.9101
performance,5508,0.4844,0.4944,0.4545,0.2544,0.3807,0.5989,0.9167
