dim,class,count_true,pct_true,count_pred,pct_pred
ability,LOW,1523,0.2765,407,0.0739
ability,MID,2400,0.4357,1570,0.2850
ability,HIGH,1585,0.2878,3531,0.6411
productivity,LOW,1388,0.2520,452,0.0821
productivity,MID,2545,0.4621,1800,0.3268
productivity,HIGH,1575,0.2859,3256,0.5911
performance,LOW,1438,0.2611,445,0.0808
performance,MID,2380,0.4321,1545,0.2805
performance,HIGH,1690,0.3068,3518,0.6387
