,coherence_1_5,coherence_1_5,coherence_1_5,coherence_1_5,coherence_1_5,coherence_1_5,realism_1_5,realism_1_5,realism_1_5,realism_1_5,realism_1_5,realism_1_5,voice_diversity_1_5,voice_diversity_1_5,voice_diversity_1_5,voice_diversity_1_5,voice_diversity_1_5,voice_diversity_1_5,rubric_mean,rubric_mean,rubric_mean,rubric_mean,rubric_mean,rubric_mean
,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count
provider_gen,,,,,,,,,,,,,,,,,,,,,,,,
claude,3.538,1.154,4.000,1,5,210,3.976,0.985,4.000,1,5,210,3.752,1.270,4.000,1,5,210,3.756,0.705,3.667,2.000,5.000,210
gemini,4.529,0.790,5.000,1,5,210,4.390,0.764,5.000,1,5,210,4.562,0.677,5.000,1,5,210,4.494,0.517,4.667,2.333,5.000,210
openai,4.567,0.799,5.000,1,5,210,4.743,0.657,5.000,1,5,210,4.824,0.651,5.000,1,5,210,4.711,0.539,5.000,1.000,5.000,210
