category,size,n_groups
HIGH,5,721
HIGH,6,374
HIGH,7,290
HIGH,8,216
HIGH,9,146
HIGH,10,118
HIGH,11,81
HIGH,12,105
HIGH,13,62
HIGH,14,54
HIGH,15,726
LOW,5,44
LOW,6,31
LOW,7,26
LOW,8,20
LOW,9,26
LOW,10,17
LOW,11,21
LOW,12,13
LOW,13,15
LOW,14,13
LOW,15,3238
MID,5,593
MID,6,448
MID,7,292
MID,8,252
MID,9,169
MID,10,162
MID,11,145
MID,12,136
MID,13,104
MID,14,93
MID,15,2010
