scenario,rep_int,rep,dist2,source_parquet,source_per_id_parquet,source_per_id_csv
S_full_high_noise,11,rep_11,2.0025466963484146,outputs\simulations\S_full_high_noise\rep_11\per_experience.parquet,outputs\simulations\S_full_high_noise\rep_11\per_id.parquet,outputs\simulations\S_full_high_noise\rep_11\per_id.csv
S_random_with_latents,12,rep_12,7.024837908000238,outputs\simulations\S_random_with_latents\rep_12\per_experience.parquet,outputs\simulations\S_random_with_latents\rep_12\per_id.parquet,outputs\simulations\S_random_with_latents\rep_12\per_id.csv
